reg,age,date,nb_hosp,nb-rea,nb_hospconv,SSR_USLD,rad_Tot,dec_Tot,AgeGroup
28,49,2020-03-21,7,1,,,1,0,"[40,49]"
28,59,2020-03-21,10,1,,,5,0,"[50,59]"
28,69,2020-03-21,18,10,,,5,1,"[60,69]"
28,79,2020-03-21,29,6,,,1,1,"[70,79]"
28,89,2020-03-21,24,3,,,1,3,"[80,89]"
28,90,2020-03-21,8,0,,,0,1,"[90,+]"
32,0,2020-03-21,439,147,,,162,58,"[0,9]"
32,9,2020-03-21,1,0,,,13,0,"[0,9]"
32,19,2020-03-21,3,0,,,1,0,"[10,19]"
32,29,2020-03-21,9,2,,,13,0,"[20,39]"
32,39,2020-03-21,14,7,,,27,0,"[30,39]"
32,49,2020-03-21,22,8,,,27,0,"[40,49]"
32,59,2020-03-21,50,25,,,28,0,"[50,59]"
32,69,2020-03-21,83,43,,,11,7,"[60,69]"
32,79,2020-03-21,112,50,,,18,18,"[70,79]"
32,89,2020-03-21,112,11,,,14,29,"[80,89]"
32,90,2020-03-21,32,0,,,9,4,"[90,+]"
44,0,2020-03-21,1556,349,,,355,227,"[0,9]"
44,9,2020-03-21,10,0,,,44,0,"[0,9]"
44,19,2020-03-21,2,1,,,5,0,"[10,19]"
44,29,2020-03-21,16,3,,,16,0,"[20,39]"
44,39,2020-03-21,35,11,,,23,0,"[30,39]"
44,49,2020-03-21,79,26,,,24,2,"[40,49]"
44,59,2020-03-21,166,50,,,54,6,"[50,59]"
44,69,2020-03-21,327,111,,,49,18,"[60,69]"
44,79,2020-03-21,399,117,,,58,47,"[70,79]"
44,89,2020-03-21,342,21,,,48,100,"[80,89]"
44,90,2020-03-21,124,0,,,18,50,"[90,+]"
52,0,2020-03-21,88,23,,,63,3,"[0,9]"
52,29,2020-03-21,1,0,,,7,0,"[20,39]"
52,39,2020-03-21,1,0,,,4,0,"[30,39]"
52,49,2020-03-21,5,1,,,14,0,"[40,49]"
52,59,2020-03-21,11,3,,,11,0,"[50,59]"
52,69,2020-03-21,19,7,,,15,0,"[60,69]"
